"fin.ESV.names" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"88" "ESV88" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"89" "ESV89" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Pseudolabrys"
"90" "ESV90" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA
"91" "ESV91" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus"
"92" "ESV92" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" NA
"93" "ESV93" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"94" "ESV94" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Nitrobacter"
"95" "ESV95" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium"
"96" "ESV96" "Bacteria" "Actinobacteria" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Dactylosporangium"
"97" "ESV97" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhodobiaceae" NA
"98" "ESV98" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"99" "ESV99" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"100" "ESV100" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Pseudarthrobacter"
"101" "ESV101" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"102" "ESV102" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionIII" "FamilyI" NA
"103" "ESV103" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
